iter	Logloss
0	0.6741420756
1	0.6545058149
2	0.6377081304
3	0.6199875233
4	0.6044960459
5	0.589823477
6	0.5737230912
7	0.5604364762
8	0.5472460042
9	0.5337639467
10	0.5222741414
11	0.5118718295
12	0.5013559665
13	0.4913223175
14	0.4817901061
15	0.4726056168
16	0.4655942396
17	0.4567914925
18	0.4482924373
19	0.4411326395
20	0.4342803162
21	0.4276807856
22	0.4221559874
23	0.4154909665
24	0.4099377689
25	0.404260024
26	0.3984176733
27	0.3929480486
28	0.3880404456
29	0.3834232765
30	0.3786365771
31	0.3743399852
32	0.3696978656
33	0.3654108349
34	0.3614857581
35	0.3572503605
36	0.3534204111
37	0.3497041539
38	0.3459576326
39	0.3427374492
40	0.3401772273
41	0.3368141539
42	0.3338639213
43	0.3311816849
44	0.3283927679
45	0.3256809801
46	0.3226306105
47	0.3196719822
48	0.3174122559
49	0.3148386655
50	0.3122392744
51	0.3097816921
52	0.3069774341
53	0.3049301328
54	0.3026294806
55	0.3002699613
56	0.2987716071
57	0.2968133185
58	0.2946589927
59	0.2930692694
60	0.2915801284
61	0.2893644863
62	0.2878863055
63	0.2857175682
64	0.2836000964
65	0.2823414604
66	0.2807986155
67	0.2787946998
68	0.2776362483
69	0.2759541721
70	0.2744188547
71	0.272700022
72	0.2714027092
73	0.2698247337
74	0.2678764549
75	0.2663117537
76	0.264592494
77	0.2633218461
78	0.2620645697
79	0.2603888926
80	0.2589453259
81	0.2572479048
82	0.2557258609
83	0.2544929468
84	0.2535768363
85	0.2525938218
86	0.2514342629
87	0.2499204647
88	0.2489456019
89	0.2471376365
90	0.2459544755
91	0.2445299952
92	0.2432195421
93	0.2420686152
94	0.2411737706
95	0.2399595471
96	0.2389409451
97	0.2378649435
98	0.2370577572
99	0.2360161532
100	0.235105071
101	0.2335548568
102	0.2327691274
103	0.2321916277
104	0.2312655941
105	0.23074353
106	0.2299336696
107	0.2288450609
108	0.2281769006
109	0.2272105654
110	0.2266232151
111	0.2256797497
112	0.224969724
113	0.224289763
114	0.2230649412
115	0.2223136298
116	0.2218002521
117	0.2207588301
118	0.2197064611
119	0.2187214436
120	0.2180442333
121	0.2174116
122	0.2167207533
123	0.2160816699
124	0.2149988491
125	0.2144168861
126	0.2134572693
127	0.2123378091
128	0.2115426991
129	0.2108643467
130	0.2100494791
131	0.2089833629
132	0.2083557716
133	0.2074272718
134	0.2065245786
135	0.2058725024
136	0.2044028268
137	0.2037869058
138	0.2031842205
139	0.2023509957
140	0.2018488182
141	0.2011803146
142	0.200084062
143	0.1993469045
144	0.1988977337
145	0.1978810166
146	0.1973339025
147	0.1969818741
148	0.1964674448
149	0.1959202553
150	0.1952599389
151	0.1943789874
152	0.1940605533
153	0.1931441244
154	0.1927809715
155	0.1922267208
156	0.1917010551
157	0.1910311753
158	0.190220876
159	0.1896297348
160	0.1889711431
161	0.1882832102
162	0.1877185756
163	0.1873435599
164	0.1868746241
165	0.1864148147
166	0.1857755141
167	0.1852157522
168	0.1845122173
169	0.1837627493
170	0.1831349507
171	0.182462713
172	0.1819294886
173	0.1813207325
174	0.1806382724
175	0.1796824362
176	0.1793056926
177	0.1788598773
178	0.1781514851
179	0.177680621
180	0.1772987411
181	0.1769330899
182	0.1763325549
183	0.1758772035
184	0.1755371715
185	0.1752193996
186	0.1746437426
187	0.173975095
188	0.1733587306
189	0.1729738806
190	0.172694177
191	0.1721492862
192	0.1717838235
193	0.171376815
194	0.1709919387
195	0.1704725867
196	0.1699562169
197	0.169264309
198	0.1686082463
199	0.168325261
200	0.1677673989
201	0.1673305942
202	0.1668596428
203	0.1664103308
204	0.1657961556
205	0.165414461
206	0.1650418129
207	0.1647341577
208	0.1644111518
209	0.1640529877
210	0.16371892
211	0.1633180163
212	0.1627308826
213	0.162319767
214	0.1618283699
215	0.1614130262
216	0.160815442
217	0.1604412966
218	0.1599654962
219	0.159517825
220	0.1592763975
221	0.1589178828
222	0.1585675297
223	0.1581533705
224	0.1576841147
225	0.1572099951
226	0.1568206869
227	0.1562775177
228	0.1559018975
229	0.1553631978
230	0.15505578
231	0.1545744506
232	0.1543285575
233	0.1538483483
234	0.1534712904
235	0.1531825584
236	0.152738977
237	0.1524619772
238	0.1517951184
239	0.1515480056
240	0.1511444318
241	0.1505994697
242	0.1502199045
243	0.1497143583
244	0.1494437632
245	0.1492371997
246	0.1489414859
247	0.1485651641
248	0.1480876848
249	0.1476467943
250	0.1473458849
251	0.1470512299
252	0.1468514759
253	0.1464595974
254	0.1461710798
255	0.1458872661
256	0.1456577058
257	0.1453696373
258	0.145177439
259	0.1449855097
260	0.1446386804
261	0.1442222325
262	0.1438264256
263	0.1434858915
264	0.1431666304
265	0.1427544488
266	0.1425053042
267	0.1420162446
268	0.141789378
269	0.141357089
270	0.141186818
271	0.1407680144
272	0.1404555553
273	0.1402141432
274	0.1398543069
275	0.1396341892
276	0.1394525104
277	0.1391022087
278	0.1388650288
279	0.1385830264
280	0.1381703891
281	0.1376632366
282	0.1374561331
283	0.1372317913
284	0.136798418
285	0.136543768
286	0.1362062802
287	0.1359433222
288	0.1357325702
289	0.1353243724
290	0.1351019541
291	0.13470722
292	0.1343850054
293	0.1340419246
294	0.1337544621
295	0.1335066841
296	0.1332800203
297	0.1330331051
298	0.1327518443
299	0.13256122
300	0.1322398495
301	0.1319867681
302	0.131641333
303	0.1313354505
304	0.1311930745
305	0.1309947132
306	0.130800361
307	0.1305424023
308	0.1303175737
309	0.1300119627
310	0.1297443401
311	0.1295424828
312	0.1293051133
313	0.1290116247
314	0.1286458691
315	0.1282522299
316	0.1279424708
317	0.1276563098
318	0.1274233469
319	0.1272343217
320	0.1269289768
321	0.1268075093
322	0.1265860854
323	0.1263204467
324	0.1260569235
325	0.1257807155
326	0.1256582419
327	0.1254250689
328	0.1250163503
329	0.124851338
330	0.1246958084
331	0.1244110789
332	0.1241867938
333	0.1239705312
334	0.1236210363
335	0.123555663
336	0.1233364663
337	0.1231265089
338	0.1229009503
339	0.122695144
340	0.1223238686
341	0.1221081826
342	0.1219217543
343	0.1216341187
344	0.1213788293
345	0.1212642126
346	0.1210929599
347	0.1208746368
348	0.1206772438
349	0.1203800357
350	0.1202083928
351	0.1199469773
352	0.11951691
353	0.119311725
354	0.1191276208
355	0.1189224747
356	0.1187724014
357	0.1185673573
358	0.1183042844
359	0.1181356505
360	0.1180003611
361	0.1179939122
362	0.1178859952
363	0.1175883807
364	0.11744199
365	0.1172010693
366	0.1170420843
367	0.1169473355
368	0.1166490297
369	0.1165476916
370	0.1163448762
371	0.1160223255
372	0.1158012561
373	0.1155332048
374	0.1153474952
375	0.1151098175
376	0.1148385316
