iter	Passed	Remaining
0	172	258214
1	322	241902
2	488	243562
3	652	244124
4	812	242936
5	954	237652
6	1116	238216
7	1267	236448
8	1416	234699
9	1563	232951
10	1712	231770
11	1864	231153
12	2011	230074
13	2151	228345
14	2289	226682
15	2425	224928
16	2565	223771
17	2700	222303
18	2837	221167
19	2978	220398
20	3113	219249
21	3248	218228
22	3376	216823
23	3506	215647
24	3636	214572
25	3764	213434
26	3893	212392
27	4024	211560
28	4153	210684
29	4279	209704
30	4410	209013
31	4542	208398
32	4668	207521
33	4793	206690
34	4916	205780
35	5039	204955
36	5167	204336
37	5294	203690
38	5417	202946
39	5543	202349
40	5670	201778
41	5795	201180
42	5915	200449
43	6041	199912
44	6164	199326
45	6310	199480
46	6444	199222
47	6572	198813
48	6697	198335
49	6824	197910
50	6947	197379
51	7076	197058
52	7202	196653
53	7346	196709
54	7490	196797
55	7620	196497
56	7764	196565
57	7907	196601
58	8044	196486
59	8186	196470
60	8316	196192
61	8458	196183
62	8600	196163
63	8732	195945
64	8869	195811
65	9007	195714
66	9127	195225
67	9245	194703
68	9367	194275
69	9488	193831
70	9609	193414
71	9728	192952
72	9850	192566
73	9974	192220
74	10098	191880
75	10222	191534
76	10340	191103
77	10463	190761
78	10584	190388
79	10706	190031
80	10827	189689
81	10949	189339
82	11072	189028
83	11191	188660
84	11314	188358
85	11451	188279
86	11585	188159
87	11706	187828
88	11825	187477
89	11948	187196
90	12066	186826
91	12188	186539
92	12312	186282
93	12432	185952
94	12551	185624
95	12673	185347
96	12792	185031
97	12914	184754
98	13036	184488
99	13156	184190
100	13275	183884
101	13396	183607
102	13522	183400
103	13645	183158
104	13770	182951
105	13894	182731
106	14023	182561
107	14147	182341
108	14277	182199
109	14397	181925
110	14517	181667
111	14642	181462
112	14765	181237
113	14885	180982
114	15013	180819
115	15139	180629
116	15261	180398
117	15387	180222
118	15513	180038
119	15637	179825
120	15761	179625
121	15888	179458
122	16014	179286
123	16137	179078
124	16267	178937
125	16394	178781
126	16528	178691
127	16668	178665
128	16797	178525
129	16919	178307
130	17046	178139
131	17171	177964
132	17299	177810
133	17426	177647
134	17553	177485
135	17682	177345
136	17812	177210
137	17934	177007
138	18065	176881
139	18188	176688
140	18321	176586
141	18451	176459
142	18582	176342
143	18713	176215
144	18842	176076
145	18972	175946
146	19102	175817
147	19230	175676
148	19358	175525
149	19488	175400
150	19619	175278
151	19749	175147
152	19879	175013
153	20010	174893
154	20136	174733
155	20266	174603
156	20399	174497
157	20526	174349
158	20655	174209
159	20789	174115
160	20919	173985
161	21053	173888
162	21183	173755
163	21312	173619
164	21455	173594
165	21589	173497
166	21730	173453
167	21883	173507
168	22016	173394
169	22148	173275
170	22283	173188
171	22417	173087
172	22553	172996
173	22687	172891
174	22818	172768
175	22956	172695
176	23096	172636
177	23228	172517
178	23363	172416
179	23497	172317
180	23629	172196
181	23760	172067
182	23892	171946
183	24026	171840
184	24159	171726
185	24290	171600
186	24421	171473
187	24552	171345
188	24683	171216
189	24820	171132
190	24950	170995
191	25082	170875
192	25219	170787
193	25351	170662
194	25482	170535
195	25612	170401
196	25745	170286
197	25876	170157
198	26009	170043
199	26142	169923
200	26272	169792
201	26405	169676
202	26538	169557
203	26669	169428
204	26803	169318
205	26953	169307
206	27102	169291
207	27237	169185
208	27371	169074
209	27505	168959
210	27639	168848
211	27774	168741
212	27909	168634
213	28045	168535
214	28175	168399
215	28313	168307
216	28450	168214
217	28586	168107
218	28721	167999
219	28856	167894
220	28990	167777
221	29124	167665
222	29258	167546
223	29391	167423
224	29523	167297
225	29659	167193
226	29792	167075
227	29930	166978
228	30065	166871
229	30198	166750
230	30335	166646
231	30472	166546
232	30602	166411
233	30734	166281
234	30867	166159
235	31004	166058
236	31136	165928
237	31269	165808
238	31401	165681
239	31539	165582
240	31675	165475
241	31804	165330
242	31940	165224
243	32079	165133
244	32232	165110
245	32372	165018
246	32508	164909
247	32639	164774
248	32773	164655
249	32905	164525
250	33045	164439
251	33179	164317
252	33313	164196
253	33449	164088
254	33583	163968
255	33718	163851
256	33853	163732
257	33987	163614
258	34128	163527
259	34259	163390
260	34387	163243
261	34518	163105
262	34658	163014
263	34795	162906
264	34932	162797
265	35067	162681
266	35206	162580
267	35336	162441
268	35473	162333
269	35605	162201
270	35738	162077
271	35874	161963
272	36009	161844
273	36139	161705
274	36286	161640
275	36416	161498
276	36550	161377
277	36682	161243
278	36815	161115
279	36949	160993
280	37085	160879
281	37246	160872
282	37402	160843
283	37560	160822
284	37717	160793
285	37867	160738
286	38023	160704
287	38178	160667
288	38327	160605
289	38472	160524
290	38618	160446
291	38760	160351
292	38904	160264
293	39054	160205
294	39184	160060
295	39323	159952
296	39457	159822
297	39591	159695
298	39724	159562
299	39858	159432
300	39996	159319
301	40131	159197
302	40263	159059
303	40400	158942
304	40534	158815
305	40669	158692
306	40803	158562
307	40937	158434
308	41076	158324
309	41211	158198
310	41351	158092
311	41486	157969
312	41620	157838
313	41755	157713
314	41895	157606
315	42028	157472
316	42165	157355
317	42299	157226
318	42439	157120
319	42592	157058
320	42726	156928
321	42857	156790
322	42994	156670
323	43132	156556
324	43266	156425
325	43403	156304
326	43535	156168
327	43674	156056
328	43810	155931
329	43944	155803
330	44078	155673
331	44219	155565
332	44353	155435
333	44486	155302
334	44619	155168
335	44751	155033
336	44888	154911
337	45019	154772
338	45158	154656
339	45292	154526
340	45424	154390
341	45558	154260
342	45690	154121
343	45824	153991
344	45959	153865
345	46094	153737
346	46230	153614
347	46368	153495
348	46499	153356
349	46636	153232
350	46772	153111
351	46910	152992
352	47047	152870
353	47183	152747
354	47315	152609
355	47449	152476
356	47585	152353
357	47730	152256
358	47875	152160
359	48009	152028
360	48141	151891
361	48153	151377
362	48282	151232
363	48417	151106
364	48548	150967
365	48679	150826
366	48810	150687
367	48946	150565
368	49082	150438
369	49211	150293
370	49344	150161
371	49482	150044
372	49616	149915
373	49751	149787
374	49888	149664
375	50029	149556
376	50161	149420
377	50295	149290
378	50431	149164
379	50567	149040
380	50706	148926
381	50837	148786
382	50969	148649
383	51101	148514
384	51236	148386
385	51368	148250
386	51501	148116
387	51638	147995
388	51769	147854
389	51903	147725
390	52035	147589
391	52169	147457
392	52303	147327
393	52441	147207
394	52578	147086
395	52717	146970
396	52861	146867
397	53002	146756
398	53142	146641
399	53272	146499
400	53403	146358
401	53539	146234
402	53683	146131
403	53821	146010
404	53956	145883
405	54094	145762
406	54226	145626
407	54359	145492
408	54492	145357
409	54626	145227
410	54761	145098
411	54897	144971
412	55027	144831
413	55161	144699
414	55299	144579
415	55434	144448
416	55563	144305
417	55699	144180
418	55838	144060
419	55973	143932
420	56107	143801
421	56240	143665
422	56377	143542
423	56511	143410
424	56642	143273
425	56779	143149
426	56917	143026
427	57053	142899
428	57188	142771
429	57324	142644
430	57460	142518
431	57602	142407
432	57735	142271
433	57881	142168
434	58030	142073
435	58164	141943
436	58299	141812
437	58429	141671
438	58561	141535
439	58693	141397
440	58828	141268
441	58964	141140
442	59097	141007
443	59231	140876
444	59369	140751
445	59510	140636
446	59643	140502
447	59779	140374
448	59913	140242
449	60052	140123
450	60187	139991
451	60322	139863
452	60458	139734
453	60593	139605
454	60729	139477
455	60864	139347
456	60998	139215
457	61135	139090
458	61269	138958
459	61400	138818
460	61534	138685
461	61670	138559
462	61804	138426
463	61942	138302
464	62074	138166
465	62210	138037
466	62344	137904
467	62477	137771
468	62614	137644
469	62751	137519
470	62889	137395
471	63022	137261
472	63180	137179
473	63327	137075
474	63460	136941
475	63595	136811
476	63728	136675
477	63863	136544
478	63994	136406
479	64130	136278
480	64270	136156
481	64400	136016
482	64541	135897
483	64675	135764
484	64812	135638
485	64945	135503
486	65082	135377
487	65217	135246
488	65352	135114
489	65486	134982
490	65619	134847
491	65758	134724
492	65899	134605
493	66034	134475
494	66172	134349
495	66306	134218
496	66440	134084
497	66577	133956
498	66717	133835
499	66859	133719
500	66995	133590
501	67135	133468
502	67293	133383
503	67448	133290
504	67600	133193
505	67750	133090
506	67900	132987
507	68048	132881
508	68207	132796
509	68364	132708
510	68515	132606
511	68660	132492
512	68814	132398
513	68950	132266
514	69084	132133
515	69222	132006
516	69379	131914
517	69519	131791
518	69660	131669
519	69798	131543
520	69945	131433
521	70087	131313
522	70226	131188
523	70364	131060
524	70508	130944
525	70651	130826
526	70788	130696
527	70927	130571
528	71068	130449
529	71208	130325
530	71347	130198
531	71490	130080
532	71642	129977
533	71781	129851
534	71924	129733
535	72064	129608
536	72208	129491
537	72339	129349
538	72475	129218
539	72604	129075
540	72738	128940
541	72873	128806
542	73012	128678
543	73149	128549
544	73289	128425
545	73442	128323
546	73586	128204
547	73722	128073
548	73855	127935
549	73987	127795
550	74121	127661
551	74262	127537
552	74393	127396
553	74528	127263
554	74657	127120
555	74797	126994
556	74933	126861
557	75066	126725
558	75204	126595
559	75336	126457
560	75471	126324
561	75603	126184
562	75735	126045
563	75870	125912
564	76006	125780
565	76140	125645
566	76273	125508
567	76410	125378
568	76544	125242
569	76678	125107
570	76814	124975
571	76947	124837
572	77079	124699
573	77217	124570
574	77351	124434
575	77495	124315
576	77627	124177
